,Uni,Links,Target Link,Is_working?
0,ABDULLAH GÜL ÜNİVERSİTESİ,agu.edu.tr,https://avesis.agu.edu.tr/proxy/search/_search,working.
1,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,acibadem.edu.tr,https://avesis.acibadem.edu.tr/proxy/search/_search,working.
2,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,atu.edu.tr,https://avesis.atu.edu.tr/proxy/search/_search,not working.
3,ADIYAMAN ÜNİVERSİTESİ,adiyaman.edu.tr,https://avesis.adiyaman.edu.tr/proxy/search/_search,not working.
4,AFYON KOCATEPE ÜNİVERSİTESİ,aku.edu.tr,https://avesis.aku.edu.tr/proxy/search/_search,not working.
5,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,afsu.edu.tr,https://avesis.afsu.edu.tr/proxy/search/_search,not working.
6,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,agri.edu.tr,https://avesis.agri.edu.tr/proxy/search/_search,not working.
7,AKDENİZ ÜNİVERSİTESİ,akdeniz.edu.tr,https://avesis.akdeniz.edu.tr/proxy/search/_search,working.
8,AKSARAY ÜNİVERSİTESİ,aksaray.edu.tr,https://avesis.aksaray.edu.tr/proxy/search/_search,working.
9,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,alanya.edu.tr,https://avesis.alanya.edu.tr/proxy/search/_search,not working.
10,ALANYA ÜNİVERSİTESİ,alanyauniversity.edu.tr,https://avesis.alanyauniversity.edu.tr/proxy/search/_search,working.
11,ALTINBAŞ ÜNİVERSİTESİ,altinbas.edu.tr,https://avesis.altinbas.edu.tr/proxy/search/_search,not working.
12,AMASYA ÜNİVERSİTESİ,amasya.edu.tr,https://avesis.amasya.edu.tr/proxy/search/_search,not working.
13,ANADOLU ÜNİVERSİTESİ,anadolu.edu.tr,https://avesis.anadolu.edu.tr/proxy/search/_search,working.
14,ANKARA BİLİM ÜNİVERSİTESİ,ankarabilim.edu.tr,https://avesis.ankarabilim.edu.tr/proxy/search/_search,not working.
15,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,hacibayram.edu.tr,https://avesis.hacibayram.edu.tr/proxy/search/_search,not working.
16,ANKARA MEDİPOL ÜNİVERSİTESİ,ankaramedipol.edu.tr,https://avesis.ankaramedipol.edu.tr/proxy/search/_search,not working.
17,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,mgu.edu.tr,https://avesis.mgu.edu.tr/proxy/search/_search,not working.
18,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,asbu.edu.tr,https://avesis.asbu.edu.tr/proxy/search/_search,not working.
19,ANKARA ÜNİVERSİTESİ,ankara.edu.tr,https://avesis.ankara.edu.tr/proxy/search/_search,working.
20,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,aybu.edu.tr,https://avesis.aybu.edu.tr/proxy/search/_search,working.
21,ANTALYA BELEK ÜNİVERSİTESİ,belek.edu.tr,https://avesis.belek.edu.tr/proxy/search/_search,not working.
22,ANTALYA BİLİM ÜNİVERSİTESİ,antalya.edu.tr,https://avesis.antalya.edu.tr/proxy/search/_search,not working.
23,ARDAHAN ÜNİVERSİTESİ,ardahan.edu.tr,https://avesis.ardahan.edu.tr/proxy/search/_search,not working.
24,ARTVİN ÇORUH ÜNİVERSİTESİ,artvin.edu.tr,https://avesis.artvin.edu.tr/proxy/search/_search,working.
25,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,adiguzel.edu.tr,https://avesis.adiguzel.edu.tr/proxy/search/_search,not working.
26,ATATÜRK ÜNİVERSİTESİ,atauni.edu.tr,https://avesis.atauni.edu.tr/proxy/search/_search,working.
27,ATILIM ÜNİVERSİTESİ,atilim.edu.tr,https://avesis.atilim.edu.tr/proxy/search/_search,not working.
28,AVRASYA ÜNİVERSİTESİ,avrasya.edu.tr,https://avesis.avrasya.edu.tr/proxy/search/_search,not working.
29,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,adu.edu.tr,https://avesis.adu.edu.tr/proxy/search/_search,not working.
30,BAHÇEŞEHİR ÜNİVERSİTESİ,bahcesehir.edu.tr,https://avesis.bahcesehir.edu.tr/proxy/search/_search,not working.
31,BALIKESİR ÜNİVERSİTESİ,balikesir.edu.tr,https://avesis.balikesir.edu.tr/proxy/search/_search,working.
32,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,bandirma.edu.tr,https://avesis.bandirma.edu.tr/proxy/search/_search,not working.
33,BARTIN ÜNİVERSİTESİ,bartin.edu.tr,https://avesis.bartin.edu.tr/proxy/search/_search,not working.
34,BAŞKENT ÜNİVERSİTESİ,baskent.edu.tr,https://avesis.baskent.edu.tr/proxy/search/_search,not working.
35,BATMAN ÜNİVERSİTESİ,batman.edu.tr,https://avesis.batman.edu.tr/proxy/search/_search,not working.
36,BAYBURT ÜNİVERSİTESİ,bayburt.edu.tr,https://avesis.bayburt.edu.tr/proxy/search/_search,not working.
37,BEYKOZ ÜNİVERSİTESİ,beykoz.edu.tr,https://avesis.beykoz.edu.tr/proxy/search/_search,not working.
38,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,bezmialem.edu.tr,https://avesis.bezmialem.edu.tr/proxy/search/_search,working.
39,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,bilecik.edu.tr,https://avesis.bilecik.edu.tr/proxy/search/_search,working.
40,BİNGÖL ÜNİVERSİTESİ,bingol.edu.tr,https://avesis.bingol.edu.tr/proxy/search/_search,not working.
41,BİRUNİ ÜNİVERSİTESİ,biruni.edu.tr,https://avesis.biruni.edu.tr/proxy/search/_search,not working.
42,BİTLİS EREN ÜNİVERSİTESİ,beu.edu.tr,https://avesis.beu.edu.tr/proxy/search/_search,not working.
43,BOĞAZİÇİ ÜNİVERSİTESİ,boun.edu.tr,https://avesis.boun.edu.tr/proxy/search/_search,not working.
44,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,ibu.edu.tr,https://avesis.ibu.edu.tr/proxy/search/_search,not working.
45,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,mehmetakif.edu.tr,https://avesis.mehmetakif.edu.tr/proxy/search/_search,not working.
46,BURSA TEKNİK ÜNİVERSİTESİ,btu.edu.tr,https://avesis.btu.edu.tr/proxy/search/_search,not working.
47,BURSA ULUDAĞ ÜNİVERSİTESİ,uludag.edu.tr,https://avesis.uludag.edu.tr/proxy/search/_search,working.
48,ÇAĞ ÜNİVERSİTESİ,cag.edu.tr,https://avesis.cag.edu.tr/proxy/search/_search,not working.
49,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,comu.edu.tr,https://avesis.comu.edu.tr/proxy/search/_search,working.
50,ÇANKAYA ÜNİVERSİTESİ,cankaya.edu.tr,https://avesis.cankaya.edu.tr/proxy/search/_search,not working.
51,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,karatekin.edu.tr,https://avesis.karatekin.edu.tr/proxy/search/_search,not working.
