,Uni,Links,Target Link
0,ABDULLAH GÜL ÜNİVERSİTESİ,agu.edu.tr,https://avesis.agu.edu.tr/proxy/search/_search
1,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,acibadem.edu.tr,https://avesis.acibadem.edu.tr/proxy/search/_search
2,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,atu.edu.tr,https://avesis.atu.edu.tr/proxy/search/_search
3,ADIYAMAN ÜNİVERSİTESİ,adiyaman.edu.tr/,https://avesis.adiyaman.edu.tr//proxy/search/_search
4,AFYON KOCATEPE ÜNİVERSİTESİ,aku.edu.tr,https://avesis.aku.edu.tr/proxy/search/_search
5,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,afsu.edu.tr,https://avesis.afsu.edu.tr/proxy/search/_search
6,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,agri.edu.tr,https://avesis.agri.edu.tr/proxy/search/_search
7,AKDENİZ ÜNİVERSİTESİ,akdeniz.edu.tr,https://avesis.akdeniz.edu.tr/proxy/search/_search
8,AKSARAY ÜNİVERSİTESİ,aksaray.edu.tr,https://avesis.aksaray.edu.tr/proxy/search/_search
9,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,alanya.edu.tr/,https://avesis.alanya.edu.tr//proxy/search/_search
10,ALANYA ÜNİVERSİTESİ,alanyauniversity.edu.tr,https://avesis.alanyauniversity.edu.tr/proxy/search/_search
11,ALTINBAŞ ÜNİVERSİTESİ,altinbas.edu.tr/tr,https://avesis.altinbas.edu.tr/tr/proxy/search/_search
12,AMASYA ÜNİVERSİTESİ,amasya.edu.tr,https://avesis.amasya.edu.tr/proxy/search/_search
13,ANADOLU ÜNİVERSİTESİ,anadolu.edu.tr/,https://avesis.anadolu.edu.tr//proxy/search/_search
14,ANKARA BİLİM ÜNİVERSİTESİ,ankarabilim.edu.tr,https://avesis.ankarabilim.edu.tr/proxy/search/_search
15,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,ankarabilim.edu.tr,https://avesis.ankarabilim.edu.tr/proxy/search/_search
16,ANKARA MEDİPOL ÜNİVERSİTESİ,ankaramedipol.edu.tr,https://avesis.ankaramedipol.edu.tr/proxy/search/_search
17,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,mgu.edu.tr,https://avesis.mgu.edu.tr/proxy/search/_search
18,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,asbu.edu.tr/,https://avesis.asbu.edu.tr//proxy/search/_search
19,ANKARA ÜNİVERSİTESİ,ankara.edu.tr,https://avesis.ankara.edu.tr/proxy/search/_search
20,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,aybu.edu.tr,https://avesis.aybu.edu.tr/proxy/search/_search
21,ANTALYA BELEK ÜNİVERSİTESİ,belek.edu.tr,https://avesis.belek.edu.tr/proxy/search/_search
22,ANTALYA BİLİM ÜNİVERSİTESİ,antalya.edu.tr/,https://avesis.antalya.edu.tr//proxy/search/_search
23,ARDAHAN ÜNİVERSİTESİ,ardahan.edu.tr,https://avesis.ardahan.edu.tr/proxy/search/_search
24,ARTVİN ÇORUH ÜNİVERSİTESİ,artvin.edu.tr,https://avesis.artvin.edu.tr/proxy/search/_search
25,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,adiguzel.edu.tr/,https://avesis.adiguzel.edu.tr//proxy/search/_search
26,ATATÜRK ÜNİVERSİTESİ,atauni.edu.tr,https://avesis.atauni.edu.tr/proxy/search/_search
27,ATILIM ÜNİVERSİTESİ,atilim.edu.tr,https://avesis.atilim.edu.tr/proxy/search/_search
28,AVRASYA ÜNİVERSİTESİ,avrasya.edu.tr,https://avesis.avrasya.edu.tr/proxy/search/_search
29,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,adu.edu.tr,https://avesis.adu.edu.tr/proxy/search/_search
30,BAHÇEŞEHİR ÜNİVERSİTESİ,bahcesehir.edu.tr,https://avesis.bahcesehir.edu.tr/proxy/search/_search
31,BALIKESİR ÜNİVERSİTESİ,balikesir.edu.tr,https://avesis.balikesir.edu.tr/proxy/search/_search
32,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,bandirma.edu.tr,https://avesis.bandirma.edu.tr/proxy/search/_search
33,BARTIN ÜNİVERSİTESİ,bartin.edu.tr/,https://avesis.bartin.edu.tr//proxy/search/_search
34,BAŞKENT ÜNİVERSİTESİ,baskent.edu.tr,https://avesis.baskent.edu.tr/proxy/search/_search
35,BATMAN ÜNİVERSİTESİ,batman.edu.tr,https://avesis.batman.edu.tr/proxy/search/_search
36,BAYBURT ÜNİVERSİTESİ,batman.edu.tr,https://avesis.batman.edu.tr/proxy/search/_search
37,BEYKOZ ÜNİVERSİTESİ,beykoz.edu.tr,https://avesis.beykoz.edu.tr/proxy/search/_search
38,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,bezmialem.edu.tr/,https://avesis.bezmialem.edu.tr//proxy/search/_search
39,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,bilecik.edu.tr/,https://avesis.bilecik.edu.tr//proxy/search/_search
40,BİNGÖL ÜNİVERSİTESİ,bingol.edu.tr,https://avesis.bingol.edu.tr/proxy/search/_search
41,BİRUNİ ÜNİVERSİTESİ,biruni.edu.tr/,https://avesis.biruni.edu.tr//proxy/search/_search
42,BİTLİS EREN ÜNİVERSİTESİ,beu.edu.tr,https://avesis.beu.edu.tr/proxy/search/_search
43,BOĞAZİÇİ ÜNİVERSİTESİ,boun.edu.tr,https://avesis.boun.edu.tr/proxy/search/_search
44,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,ibu.edu.tr/,https://avesis.ibu.edu.tr//proxy/search/_search
