,Uni,Links
0,ABDULLAH GÜL ÜNİVERSİTESİ,agu.edu.tr
1,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,acibadem.edu.tr
2,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,atu.edu.tr
3,ADIYAMAN ÜNİVERSİTESİ,adiyaman.edu.tr/
4,AFYON KOCATEPE ÜNİVERSİTESİ,aku.edu.tr
5,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,afsu.edu.tr
6,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,agri.edu.tr
7,AKDENİZ ÜNİVERSİTESİ,akdeniz.edu.tr
8,AKSARAY ÜNİVERSİTESİ,aksaray.edu.tr
9,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,alanya.edu.tr/
10,ALANYA ÜNİVERSİTESİ,alanyauniversity.edu.tr
11,ALTINBAŞ ÜNİVERSİTESİ,altinbas.edu.tr/tr
12,AMASYA ÜNİVERSİTESİ,amasya.edu.tr
13,ANADOLU ÜNİVERSİTESİ,anadolu.edu.tr/
14,ANKARA BİLİM ÜNİVERSİTESİ,ankarabilim.edu.tr
15,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,ankarabilim.edu.tr
16,ANKARA MEDİPOL ÜNİVERSİTESİ,ankaramedipol.edu.tr
17,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,mgu.edu.tr
18,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,asbu.edu.tr/
19,ANKARA ÜNİVERSİTESİ,ankara.edu.tr
20,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,aybu.edu.tr
21,ANTALYA BELEK ÜNİVERSİTESİ,belek.edu.tr
22,ANTALYA BİLİM ÜNİVERSİTESİ,antalya.edu.tr/
23,ARDAHAN ÜNİVERSİTESİ,ardahan.edu.tr
24,ARTVİN ÇORUH ÜNİVERSİTESİ,artvin.edu.tr
25,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,adiguzel.edu.tr/
26,ATATÜRK ÜNİVERSİTESİ,atauni.edu.tr
27,ATILIM ÜNİVERSİTESİ,atilim.edu.tr
28,AVRASYA ÜNİVERSİTESİ,avrasya.edu.tr
29,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,adu.edu.tr
30,BAHÇEŞEHİR ÜNİVERSİTESİ,bahcesehir.edu.tr
31,BALIKESİR ÜNİVERSİTESİ,balikesir.edu.tr
32,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,bandirma.edu.tr
33,BARTIN ÜNİVERSİTESİ,bartin.edu.tr/
34,BAŞKENT ÜNİVERSİTESİ,baskent.edu.tr
35,BATMAN ÜNİVERSİTESİ,batman.edu.tr
36,BAYBURT ÜNİVERSİTESİ,batman.edu.tr
37,BEYKOZ ÜNİVERSİTESİ,beykoz.edu.tr
38,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,bezmialem.edu.tr/
39,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,bilecik.edu.tr/
40,BİNGÖL ÜNİVERSİTESİ,bingol.edu.tr
41,BİRUNİ ÜNİVERSİTESİ,biruni.edu.tr/
42,BİTLİS EREN ÜNİVERSİTESİ,beu.edu.tr
43,BOĞAZİÇİ ÜNİVERSİTESİ,boun.edu.tr
44,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,ibu.edu.tr/
45,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,mehmetakif.edu.tr
46,BURSA TEKNİK ÜNİVERSİTESİ,mehmetakif.edu.tr
47,BURSA ULUDAĞ ÜNİVERSİTESİ,uludag.edu.tr/
48,ÇAĞ ÜNİVERSİTESİ,cag.edu.tr/
49,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,comu.edu.tr
50,ÇANKAYA ÜNİVERSİTESİ,cankaya.edu.tr/
51,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,karatekin.edu.tr
52,ÇUKUROVA ÜNİVERSİTESİ,cu.edu.tr
53,DEMİROĞLU BİLİM ÜNİVERSİTESİ,demiroglu.bilim.edu.tr
54,DİCLE ÜNİVERSİTESİ,dicle.edu.tr
55,DOĞUŞ ÜNİVERSİTESİ,dogus.edu.tr
56,DOKUZ EYLÜL ÜNİVERSİTESİ,deu.edu.tr
57,DÜZCE ÜNİVERSİTESİ,duzce.edu.tr/
58,EGE ÜNİVERSİTESİ,ege.edu.tr
59,ERCİYES ÜNİVERSİTESİ,erciyes.edu.tr
60,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,erzincan.edu.tr
61,ERZURUM TEKNİK ÜNİVERSİTESİ,erzurum.edu.tr/
62,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,ogu.edu.tr
63,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,eskisehir.edu.tr/
64,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,fsm.edu.tr
65,FENERBAHÇE ÜNİVERSİTESİ,fbu.edu.tr
66,FIRAT ÜNİVERSİTESİ,firat.edu.tr/
67,GALATASARAY ÜNİVERSİTESİ,gsu.edu.tr
68,GAZİ ÜNİVERSİTESİ,gsu.edu.tr
69,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,gibtu.edu.tr/
70,GAZİANTEP ÜNİVERSİTESİ,gantep.edu.tr
71,GEBZE TEKNİK ÜNİVERSİTESİ,gtu.edu.tr
72,GİRESUN ÜNİVERSİTESİ,giresun.edu.tr/
73,GÜMÜŞHANE ÜNİVERSİTESİ,gumushane.edu.tr
74,HACETTEPE ÜNİVERSİTESİ,gumushane.edu.tr
75,HAKKARİ ÜNİVERSİTESİ,hakkari.edu.tr / www.hu.edu.tr
76,HALİÇ ÜNİVERSİTESİ,halic.edu.tr
77,HARRAN ÜNİVERSİTESİ,harran.edu.tr/
78,HASAN KALYONCU ÜNİVERSİTESİ,hku.edu.tr
79,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,mku.edu.tr
80,HİTİT ÜNİVERSİTESİ,hitit.edu.tr/
81,IĞDIR ÜNİVERSİTESİ,igdir.edu.tr
82,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,igdir.edu.tr
83,IŞIK ÜNİVERSİTESİ,isikun.edu.tr/
84,İBN HALDUN ÜNİVERSİTESİ,ihu.edu.tr
85,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,bilkent.edu.tr/
86,İNÖNÜ ÜNİVERSİTESİ,inonu.edu.tr/
87,İSKENDERUN TEKNİK ÜNİVERSİTESİ,iste.edu.tr
88,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,29mayis.edu.tr
89,İSTANBUL AREL ÜNİVERSİTESİ,arel.edu.tr
90,İSTANBUL ATLAS ÜNİVERSİTESİ,atlas.edu.tr
91,İSTANBUL AYDIN ÜNİVERSİTESİ,aydin.edu.tr
92,İSTANBUL BEYKENT ÜNİVERSİTESİ,beykent.edu.tr
93,İSTANBUL BİLGİ ÜNİVERSİTESİ,bilgi.edu.tr
94,İSTANBUL ESENYURT ÜNİVERSİTESİ,esenyurt.edu.tr
95,İSTANBUL GALATA ÜNİVERSİTESİ,galata.edu.tr
96,İSTANBUL GEDİK ÜNİVERSİTESİ,gedik.edu.tr
97,İSTANBUL GELİŞİM ÜNİVERSİTESİ,gelisim.edu.tr
98,İSTANBUL KENT ÜNİVERSİTESİ,kent.edu.tr
99,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,iku.edu.tr
100,İSTANBUL MEDENİYET ÜNİVERSİTESİ,medeniyet.edu.tr
101,İSTANBUL MEDİPOL ÜNİVERSİTESİ,medipol.edu.tr
102,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,nisantasi.edu.tr
103,İSTANBUL OKAN ÜNİVERSİTESİ,okan.edu.tr
104,İSTANBUL RUMELİ ÜNİVERSİTESİ,rumeli.edu.tr
105,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,izu.edu.tr/
106,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,issb.edu.tr
107,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,istun.edu.tr
108,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,sisli.edu.tr
109,İSTANBUL TEKNİK ÜNİVERSİTESİ,itu.edu.tr
110,İSTANBUL TİCARET ÜNİVERSİTESİ,ticaret.edu.tr
111,İSTANBUL TOPKAPI ÜNİVERSİTESİ,topkapi.edu.tr
112,İSTANBUL ÜNİVERSİTESİ,istanbul.edu.tr
113,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,istanbul.edu.tr
114,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,yeniyuzyil.edu.tr
115,İSTİNYE ÜNİVERSİTESİ,istinye.edu.tr
116,İZMİR BAKIRÇAY ÜNİVERSİTESİ,istinye.edu.tr
117,İZMİR DEMOKRASİ ÜNİVERSİTESİ,idu.edu.tr
118,İZMİR EKONOMİ ÜNİVERSİTESİ,ieu.edu.tr
119,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,ikc.edu.tr/
120,İZMİR KAVRAM MESLEK YÜKSEKOKULU,kavram.edu.tr
121,İZMİR TINAZTEPE ÜNİVERSİTESİ,tinaztepe.edu.tr
122,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,iyte.edu.tr/
123,KADİR HAS ÜNİVERSİTESİ,khas.edu.tr
124,KAFKAS ÜNİVERSİTESİ,kafkas.edu.tr
125,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,istiklal.edu.tr
126,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,ksu.edu.tr
127,KAPADOKYA ÜNİVERSİTESİ,kapadokya.edu.tr
128,KARABÜK ÜNİVERSİTESİ,karabuk.edu.tr/
129,KARADENİZ TEKNİK ÜNİVERSİTESİ,ktu.edu.tr
130,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,kmu.edu.tr
131,KASTAMONU ÜNİVERSİTESİ,kastamonu.edu.tr/index.php/tr/
132,KAYSERİ ÜNİVERSİTESİ,kayseri.edu.tr
133,KIRIKKALE ÜNİVERSİTESİ,kayseri.edu.tr
134,KIRKLARELİ ÜNİVERSİTESİ,klu.edu.tr/
135,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,ahievran.edu.tr
136,KİLİS 7 ARALIK ÜNİVERSİTESİ,kilis.edu.tr
137,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,kocaelisaglik.edu.tr
138,KOCAELİ ÜNİVERSİTESİ,kocaeli.edu.tr/
139,KOÇ ÜNİVERSİTESİ,ku.edu.tr
140,KONYA GIDA VE TARIM ÜNİVERSİTESİ,gidatarim.edu.tr/
141,KONYA TEKNİK ÜNİVERSİTESİ,ktun.edu.tr/
142,KTO KARATAY ÜNİVERSİTESİ,karatay.edu.tr
143,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,karatay.edu.tr
144,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,ksbu.edu.tr/
145,LOKMAN HEKİM ÜNİVERSİTESİ,lokmanhekim.edu.tr
146,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,ozal.edu.tr
147,MALTEPE ÜNİVERSİTESİ,maltepe.edu.tr/
148,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,cbu.edu.tr
149,MARDİN ARTUKLU ÜNİVERSİTESİ,artuklu.edu.tr/
150,MARMARA ÜNİVERSİTESİ,marmara.edu.tr
151,MEF ÜNİVERSİTESİ,mef.edu.tr
152,MERSİN ÜNİVERSİTESİ,mersin.edu.tr/idari/genel-sekreterlik
153,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,msgsu.edu.tr
154,MUDANYA ÜNİVERSİTESİ,msgsu.edu.tr
155,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,mu.edu.tr/
156,MUNZUR ÜNİVERSİTESİ,munzur.edu.tr
157,MUŞ ALPARSLAN ÜNİVERSİTESİ,alparslan.edu.tr
158,NECMETTİN ERBAKAN ÜNİVERSİTESİ,erbakan.edu.tr
159,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,nevsehir.edu.tr/
160,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,ohu.edu.tr/
161,NUH NACİ YAZGAN ÜNİVERSİTESİ,nny.edu.tr
162,ONDOKUZ MAYIS ÜNİVERSİTESİ,omu.edu.tr/
163,ORDU ÜNİVERSİTESİ,odu.edu.tr
164,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,metu.edu.tr
165,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,osmaniye.edu.tr
166,OSTİM TEKNİK ÜNİVERSİTESİ,ostimteknik.edu.tr
167,ÖZYEĞİN ÜNİVERSİTESİ,ozyegin.edu.tr
168,PAMUKKALE ÜNİVERSİTESİ,pau.edu.tr
169,PİRİ REİS ÜNİVERSİTESİ,pirireis.edu.tr
170,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,pirireis.edu.tr
171,SABANCI ÜNİVERSİTESİ,sabanciuniv.edu
172,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,sbu.edu.tr
173,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,subu.edu.tr
174,SAKARYA ÜNİVERSİTESİ,sakarya.edu.tr
175,SAMSUN ÜNİVERSİTESİ,samsun.edu.tr
176,SANKO ÜNİVERSİTESİ,sanko.edu.tr
177,SELÇUK ÜNİVERSİTESİ,selcuk.edu.tr/
178,SİİRT ÜNİVERSİTESİ,selcuk.edu.tr/
179,SİNOP ÜNİVERSİTESİ,sinop.edu.tr 
180,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,sivas.edu.tr/
181,SİVAS CUMHURİYET ÜNİVERSİTESİ,cumhuriyet.edu.tr
182,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,sdu.edu.tr/
183,ŞIRNAK ÜNİVERSİTESİ,sirnak.edu.tr
184,TARSUS ÜNİVERSİTESİ,tarsus.edu.tr
185,TED ÜNİVERSİTESİ,tedu.edu.tr
186,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,nku.edu.tr
187,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,etu.edu.tr
188,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,gop.edu.tr
189,TOROS ÜNİVERSİTESİ,toros.edu.tr
190,TRABZON ÜNİVERSİTESİ,trabzon.edu.tr
191,TRAKYA ÜNİVERSİTESİ,trakya.edu.tr/
192,TÜRK HAVA KURUMU ÜNİVERSİTESİ,thk.edu.tr
193,TÜRK-ALMAN ÜNİVERSİTESİ,tau.edu.tr/
194,UFUK ÜNİVERSİTESİ,ufuk.edu.tr
195,UŞAK ÜNİVERSİTESİ,usak.edu.tr
196,ÜSKÜDAR ÜNİVERSİTESİ,uskudar.edu.tr
